"John O’Keefe, May-Britt Moser and Edvard I. Moser ","Physiology or Medicine","2014","for their discoveries of cells that constitute a positioning system in the brain"
"Patrick Modiano ","Literature","2014","for the art of memory with which he has evoked the most ungraspable human destinies and uncovered the life-world of the occupation"
"Kailash Satyarthi and Malala Yousafzai ","Peace","2014","for their struggle against the suppression of children and young people and for the right of all children to education"
"Jean Tirole ","Economic Sciences","2014","for his analysis of market power and regulation"
"François Englert and Peter W. Higgs ","Physics","2013","for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN’s Large Hadron Collider"
"Martin Karplus, Michael Levitt and Arieh Warshel ","Chemistry","2013","for the development of multiscale models for complex chemical systems"
"James E. Rothman, Randy W. Schekman and Thomas C. Südhof ","Physiology or Medicine","2013","for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"
"Alice Munro ","Literature","2013","master of the contemporary short story"
"Organisation for the Prohibition of Chemical Weapons (OPCW)  ","Peace","2013","for its extensive efforts to eliminate chemical weapons"
"Eugene F. Fama, Lars Peter Hansen and Robert J. Shiller ","Economic Sciences","2013","for their empirical analysis of asset prices"
"Serge Haroche and David J. Wineland ","Physics","2012","for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems"
"Robert J. Lefkowitz and Brian K. Kobilka ","Chemistry","2012","for studies of G-protein-coupled receptors"
"Sir John B. Gurdon and Shinya Yamanaka ","Physiology or Medicine","2012","for the discovery that mature cells can be reprogrammed to become pluripotent"
"Mo Yan ","Literature","2012","who with hallucinatory realism merges folk tales, history and the contemporary"
"European Union (EU)  ","Peace","2012","for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe"
"Alvin E. Roth and Lloyd S. Shapley ","Economic Sciences","2012","for the theory of stable allocations and the practice of market design"
"Saul Perlmutter, Brian P. Schmidt and Adam G. Riess ","Physics","2011","for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"
"Dan Shechtman ","Chemistry","2011","for the discovery of quasicrystals"
"Bruce A. Beutler and Jules A. Hoffmann ","Physiology or Medicine","2011","for their discoveries concerning the activation of innate immunity"
"Ralph M. Steinman ","Physiology or Medicine","2011","for his discovery of the dendritic cell and its role in adaptive immunity"
"Tomas Tranströmer ","Literature","2011","because, through his condensed, translucent images, he gives us fresh access to reality"
"Ellen Johnson Sirleaf, Leymah Gbowee and Tawakkol Karman ","Peace","2011","for their non-violent struggle for the safety of women and for women’s rights to full participation in peace-building work"
"Thomas J. Sargent and Christopher A. Sims ","Economic Sciences","2011","for their empirical research on cause and effect in the macroeconomy"
"Andre Geim and Konstantin Novoselov ","Physics","2010","for groundbreaking experiments regarding the two-dimensional material graphene"
"Richard F. Heck, Ei-ichi Negishi and Akira Suzuki ","Chemistry","2010","for palladium-catalyzed cross couplings in organic synthesis"
"Robert G. Edwards ","Physiology or Medicine","2010","for the development of in vitro fertilization"
"Mario Vargas Llosa ","Literature","2010","for his cartography of structures of power and his trenchant images of the individual’s resistance, revolt, and defeat"
"Liu Xiaobo ","Peace","2010","for his long and non-violent struggle for fundamental human rights in China"
"Peter A. Diamond, Dale T. Mortensen and Christopher A. Pissarides ","Economic Sciences","2010","for their analysis of markets with search frictions"
"Charles Kuen Kao ","Physics","2009","for groundbreaking achievements concerning the transmission of light in fibers for optical communication"
"Willard S. Boyle and George E. Smith ","Physics","2009","for the invention of an imaging semiconductor circuit – the CCD sensor"
"Venkatraman Ramakrishnan, Thomas A. Steitz and Ada E. Yonath ","Chemistry","2009","for studies of the structure and function of the ribosome"
"Elizabeth H. Blackburn, Carol W. Greider and Jack W. Szostak ","Physiology or Medicine","2009","for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase"
"Herta Müller ","Literature","2009","who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed"
"Barack H. Obama ","Peace","2009","for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples"
"Elinor Ostrom ","Economic Sciences","2009","for her analysis of economic governance, especially the commons"
"Oliver E. Williamson ","Economic Sciences","2009","for his analysis of economic governance, especially the boundaries of the firm"
"Yoichiro Nambu ","Physics","2008","for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics"
"Makoto Kobayashi and Toshihide Maskawa ","Physics","2008","for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature"
"Osamu Shimomura, Martin Chalfie and Roger Y. Tsien ","Chemistry","2008","for the discovery and development of the green fluorescent protein, GFP"
"Harald zur Hausen ","Physiology or Medicine","2008","for his discovery of human papilloma viruses causing cervical cancer"
"Françoise Barré-Sinoussi and Luc Montagnier ","Physiology or Medicine","2008","for their discovery of human immunodeficiency virus"
"Jean-Marie Gustave Le Clézio ","Literature","2008","author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization"
"Martti Ahtisaari ","Peace","2008","for his important efforts, on several continents and over more than three decades, to resolve international conflicts"
"Paul Krugman ","Economic Sciences","2008","for his analysis of trade patterns and location of economic activity"
"Albert Fert and Peter Grünberg ","Physics","2007","for the discovery of Giant Magnetoresistance"
"Gerhard Ertl ","Chemistry","2007","for his studies of chemical processes on solid surfaces"
"Mario R. Capecchi, Sir Martin J. Evans and Oliver Smithies ","Physiology or Medicine","2007","for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells"
"Doris Lessing ","Literature","2007","that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny"
"Intergovernmental Panel on Climate Change (IPCC)  and Albert Arnold (Al) Gore Jr. ","Peace","2007","for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change"
"Leonid Hurwicz, Eric S. Maskin and Roger B. Myerson ","Economic Sciences","2007","for having laid the foundations of mechanism design theory"
"John C. Mather and George F. Smoot ","Physics","2006","for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation"
"Roger D. Kornberg ","Chemistry","2006","for his studies of the molecular basis of eukaryotic transcription"
"Andrew Z. Fire and Craig C. Mello ","Physiology or Medicine","2006","for their discovery of RNA interference – gene silencing by double-stranded RNA"
"Orhan Pamuk ","Literature","2006","who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures"
"Muhammad Yunus and Grameen Bank  ","Peace","2006","for their efforts to create economic and social development from below"
"Edmund S. Phelps ","Economic Sciences","2006","for his analysis of intertemporal tradeoffs in macroeconomic policy"
"Roy J. Glauber ","Physics","2005","for his contribution to the quantum theory of optical coherence"
"John L. Hall and Theodor W. Hänsch ","Physics","2005","for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique"
"Yves Chauvin, Robert H. Grubbs and Richard R. Schrock ","Chemistry","2005","for the development of the metathesis method in organic synthesis"
"Barry J. Marshall and J. Robin Warren ","Physiology or Medicine","2005","for their discovery of the bacterium Helicobacter pylori and its role in gastritis and peptic ulcer disease"
"Harold Pinter ","Literature","2005","who in his plays uncovers the precipice under everyday prattle and forces entry into oppression’s closed rooms"
"International Atomic Energy Agency (IAEA)  and Mohamed ElBaradei ","Peace","2005","for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way"
"Robert J. Aumann and Thomas C. Schelling ","Economic Sciences","2005","for having enhanced our understanding of conflict and cooperation through game-theory analysis"
"David J. Gross, H. David Politzer and Frank Wilczek ","Physics","2004","for the discovery of asymptotic freedom in the theory of the strong interaction"
"Aaron Ciechanover, Avram Hershko and Irwin Rose ","Chemistry","2004","for the discovery of ubiquitin-mediated protein degradation"
"Richard Axel and Linda B. Buck ","Physiology or Medicine","2004","for their discoveries of odorant receptors and the organization of the olfactory system"
"Elfriede Jelinek ","Literature","2004","for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society’s clichés and their subjugating power"
"Wangari Muta Maathai ","Peace","2004","for her contribution to sustainable development, democracy and peace"
"Finn E. Kydland and Edward C. Prescott ","Economic Sciences","2004","for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles"
"Alexei A. Abrikosov, Vitaly L. Ginzburg and Anthony J. Leggett ","Physics","2003","for pioneering contributions to the theory of superconductors and superfluids"
"Peter Agre ","Chemistry","2003","for the discovery of water channels"
"Roderick MacKinnon ","Chemistry","2003","for structural and mechanistic studies of ion channels"
"Paul C. Lauterbur and Sir Peter Mansfield ","Physiology or Medicine","2003","for their discoveries concerning magnetic resonance imaging"
"John M. Coetzee ","Literature","2003","who in innumerable guises portrays the surprising involvement of the outsider"
"Shirin Ebadi ","Peace","2003","for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children"
"Robert F. Engle III ","Economic Sciences","2003","for methods of analyzing economic time series with time-varying volatility (ARCH)"
"Clive W.J. Granger ","Economic Sciences","2003","for methods of analyzing economic time series with common trends (cointegration)"
"Raymond Davis Jr. and Masatoshi Koshiba ","Physics","2002","for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos"
"Riccardo Giacconi ","Physics","2002","for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources"
"John B. Fenn and Koichi Tanaka ","Chemistry","2002","for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules"
"Kurt Wüthrich ","Chemistry","2002","for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution"
"Sydney Brenner, H. Robert Horvitz and John E. Sulston ","Physiology or Medicine","2002","for their discoveries concerning genetic regulation of organ development and programmed cell death"
"Imre Kertész ","Literature","2002","for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history"
"Jimmy Carter ","Peace","2002","for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development"
"Daniel Kahneman ","Economic Sciences","2002","for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty"
"Vernon L. Smith ","Economic Sciences","2002","for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms"
"Eric A. Cornell, Wolfgang Ketterle and Carl E. Wieman ","Physics","2001","for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"
"William S. Knowles and Ryoji Noyori ","Chemistry","2001","for their work on chirally catalysed hydrogenation reactions"
"K. Barry Sharpless ","Chemistry","2001","for his work on chirally catalysed oxidation reactions"
"Leland H. Hartwell, Tim Hunt and Sir Paul M. Nurse ","Physiology or Medicine","2001","for their discoveries of key regulators of the cell cycle"
"Sir Vidiadhar Surajprasad Naipaul ","Literature","2001","for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories"
"United Nations (U.N.)  and Kofi Annan ","Peace","2001","for their work for a better organized and more peaceful world"
"George A. Akerlof, A. Michael Spence and Joseph E. Stiglitz ","Economic Sciences","2001","for their analyses of markets with asymmetric information"
"Zhores I. Alferov and Herbert Kroemer ","Physics","2000","for developing semiconductor heterostructures used in high-speed- and opto-electronics"
"Jack S. Kilby ","Physics","2000","for his part in the invention of the integrated circuit"
"Alan J. Heeger, Alan G. MacDiarmid and Hideki Shirakawa ","Chemistry","2000","for the discovery and development of conductive polymers"
"Arvid Carlsson, Paul Greengard and Eric R. Kandel ","Physiology or Medicine","2000","for their discoveries concerning signal transduction in the nervous system"
"Gao Xingjian ","Literature","2000","for an æuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama"
"Kim Dae-jung ","Peace","2000","for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular"
"James J. Heckman ","Economic Sciences","2000","for his development of theory and methods for analyzing selective samples"
"Daniel L. McFadden ","Economic Sciences","2000","for his development of theory and methods for analyzing discrete choice"
"Gerardus ‘t Hooft and Martinus J.G. Veltman ","Physics","1999","for elucidating the quantum structure of electroweak interactions in physics"
"Ahmed H. Zewail ","Chemistry","1999","for his studies of the transition states of chemical reactions using femtosecond spectroscopy"
"Günter Blobel ","Physiology or Medicine","1999","for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell"
"Günter Grass ","Literature","1999","whose frolicsome black fables portray the forgotten face of history"
"Médecins Sans Frontières  ","Peace","1999","in recognition of the organization’s pioneering humanitarian work on several continents"
"Robert A. Mundell ","Economic Sciences","1999","for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas"
"Robert B. Laughlin, Horst L. Störmer and Daniel C. Tsui ","Physics","1998","for their discovery of a new form of quantum fluid with fractionally charged excitations"
"Walter Kohn ","Chemistry","1998","for his development of the density-functional theory"
"John A. Pople ","Chemistry","1998","for his development of computational methods in quantum chemistry"
"Robert F. Furchgott, Louis J. Ignarro and Ferid Murad ","Physiology or Medicine","1998","for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system"
"José Saramago ","Literature","1998","who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality"
"John Hume and David Trimble ","Peace","1998","for their efforts to find a peaceful solution to the conflict in Northern Ireland"
"Amartya Sen ","Economic Sciences","1998","for his contributions to welfare economics"
"Steven Chu, Claude Cohen-Tannoudji and William D. Phillips ","Physics","1997","for development of methods to cool and trap atoms with laser light"
"Paul D. Boyer and John E. Walker ","Chemistry","1997","for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)"
"Jens C. Skou ","Chemistry","1997","for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase"
"Stanley B. Prusiner ","Physiology or Medicine","1997","for his discovery of Prions – a new biological principle of infection"
"Dario Fo ","Literature","1997","who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden"
"International Campaign to Ban Landmines (ICBL)  and Jody Williams ","Peace","1997","for their work for the banning and clearing of anti-personnel mines"
"Robert C. Merton and Myron S. Scholes ","Economic Sciences","1997","for a new method to determine the value of derivatives"
"David M. Lee, Douglas D. Osheroff and Robert C. Richardson ","Physics","1996","for their discovery of superfluidity in helium-3"
"Robert F. Curl Jr., Sir Harold W. Kroto and Richard E. Smalley ","Chemistry","1996","for their discovery of fullerenes"
"Peter C. Doherty and Rolf M. Zinkernagel ","Physiology or Medicine","1996","for their discoveries concerning the specificity of the cell mediated immune defence"
"Wislawa Szymborska ","Literature","1996","for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality"
"Carlos Filipe Ximenes Belo and José Ramos-Horta ","Peace","1996","for their work towards a just and peaceful solution to the conflict in East Timor"
"James A. Mirrlees and William Vickrey ","Economic Sciences","1996","for their fundamental contributions to the economic theory of incentives under asymmetric information"
"Martin L. Perl ","Physics","1995","for the discovery of the tau lepton"
"Frederick Reines ","Physics","1995","for the detection of the neutrino"
"Paul J. Crutzen, Mario J. Molina and F. Sherwood Rowland ","Chemistry","1995","for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"
"Edward B. Lewis, Christiane Nüsslein-Volhard and Eric F. Wieschaus ","Physiology or Medicine","1995","for their discoveries concerning the genetic control of early embryonic development"
"Seamus Heaney ","Literature","1995","for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past"
"Joseph Rotblat and Pugwash Conferences on Science and World Affairs  ","Peace","1995","for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms"
"Robert E. Lucas Jr. ","Economic Sciences","1995","for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy"
"Pierre-Gilles de Gennes ","Physics","1991","for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers"
"Richard R. Ernst ","Chemistry","1991","for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy"
"Erwin Neher and Bert Sakmann ","Physiology or Medicine","1991","for their discoveries concerning the function of single ion channels in cells"
"Nadine Gordimer ","Literature","1991","who through her magnificent epic writing has – in the words of Alfred Nobel – been of very great benefit to humanity"
"Aung San Suu Kyi  ","Peace","1991","for her non-violent struggle for democracy and human rights"
"Ronald H. Coase ","Economic Sciences","1991","for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy"
"Jerome I. Friedman, Henry W. Kendall and Richard E. Taylor ","Physics","1990","for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"
"Elias James Corey ","Chemistry","1990","for his development of the theory and methodology of organic synthesis"
"Joseph E. Murray and E. Donnall Thomas ","Physiology or Medicine","1990","for their discoveries concerning organ and cell transplantation in the treatment of human disease"
"Octavio Paz ","Literature","1990","for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity"
"Mikhail Sergeyevich Gorbachev ","Peace","1990","for his leading role in the peace process which today characterizes important parts of the international community"
"Harry M. Markowitz, Merton H. Miller and William F. Sharpe ","Economic Sciences","1990","for their pioneering work in the theory of financial economics"
"Norman F. Ramsey ","Physics","1989","for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks"
"Hans G. Dehmelt and Wolfgang Paul ","Physics","1989","for the development of the ion trap technique"
"Sidney Altman and Thomas R. Cech ","Chemistry","1989","for their discovery of catalytic properties of RNA"
"J. Michael Bishop and Harold E. Varmus ","Physiology or Medicine","1989","for their discovery of the cellular origin of retroviral oncogenes"
"Camilo José Cela ","Literature","1989","for a rich and intensive prose, which with restrained compassion forms a challenging vision of man’s vulnerability"
"The 14th Dalai Lama (Tenzin Gyatso) ","Peace","1989","for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people"
"Trygve Haavelmo ","Economic Sciences","1989","for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures"
"Leon M. Lederman, Melvin Schwartz and Jack Steinberger ","Physics","1988","for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"
"Johann Deisenhofer, Robert Huber and Hartmut Michel ","Chemistry","1988","for the determination of the three-dimensional structure of a photosynthetic reaction centre"
"Sir James W. Black, Gertrude B. Elion and George H. Hitchings ","Physiology or Medicine","1988","for their discoveries of important principles for drug treatment"
"Naguib Mahfouz ","Literature","1988","who, through works rich in nuance – now clear-sightedly realistic, now evocatively ambiguous – has formed an Arabian narrative art that applies to all mankind"
"United Nations Peacekeeping Forces ","Peace","1988","for preventing armed clashes and creating conditions for negotiations"
"Maurice Allais ","Economic Sciences","1988","for his pioneering contributions to the theory of markets and efficient utilization of resources"
"J. Georg Bednorz and K. Alexander Müller ","Physics","1987","for their important break-through in the discovery of superconductivity in ceramic materials"
"Donald J. Cram, Jean-Marie Lehn and Charles J. Pedersen ","Chemistry","1987","for their development and use of molecules with structure-specific interactions of high selectivity"
"Susumu Tonegawa ","Physiology or Medicine","1987","for his discovery of the genetic principle for generation of antibody diversity"
"Joseph Brodsky ","Literature","1987","for an all-embracing authorship, imbued with clarity of thought and poetic intensity"
"Oscar Arias Sánchez ","Peace","1987","for his work for lasting peace in Central America"
"Robert M. Solow ","Economic Sciences","1987","for his contributions to the theory of economic growth"
"Ernst Ruska ","Physics","1986","for his fundamental work in electron optics, and for the design of the first electron microscope"
"Gerd Binnig and Heinrich Rohrer ","Physics","1986","for their design of the scanning tunneling microscope"
"Dudley R. Herschbach, Yuan T. Lee and John C. Polanyi ","Chemistry","1986","for their contributions concerning the dynamics of chemical elementary processes"
"Stanley Cohen and Rita Levi-Montalcini ","Physiology or Medicine","1986","for their discoveries of growth factors"
"Wole Soyinka ","Literature","1986","who in a wide cultural perspective and with poetic overtones fashions the drama of existence"
"Elie Wiesel ","Peace","1986","for being a messenger to mankind: his message is one of peace, atonement and dignity"
"James M. Buchanan Jr. ","Economic Sciences","1986","for his development of the contractual and constitutional bases for the theory of economic and political decision-making"
"Klaus von Klitzing ","Physics","1985","for the discovery of the quantized Hall effect"
"Herbert A. Hauptman and Jerome Karle ","Chemistry","1985","for their outstanding achievements in the development of direct methods for the determination of crystal structures"
"Michael S. Brown and Joseph L. Goldstein ","Physiology or Medicine","1985","for their discoveries concerning the regulation of cholesterol metabolism"
"Claude Simon ","Literature","1985","who in his novel combines the poet’s and the painter’s creativeness with a deepened awareness of time in the depiction of the human condition"
"International Physicians for the Prevention of Nuclear War ","Peace","1985","for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war"
"Franco Modigliani ","Economic Sciences","1985","for his pioneering analyses of saving and of financial markets"
"Carlo Rubbia and Simon van der Meer ","Physics","1984","for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"
"Robert Bruce Merrifield ","Chemistry","1984","for his development of methodology for chemical synthesis on a solid matrix"
"Niels K. Jerne, Georges J.F. Köhler and César Milstein ","Physiology or Medicine","1984","for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies"
"Jaroslav Seifert ","Literature","1984","for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man"
"Desmond Mpilo Tutu ","Peace","1984","for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa"
"Richard Stone ","Economic Sciences","1984","for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis"
"Subramanyan Chandrasekhar ","Physics","1983","for his theoretical studies of the physical processes of importance to the structure and evolution of the stars"
"William Alfred Fowler ","Physics","1983","for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe"
"Henry Taube ","Chemistry","1983","for his work on the mechanisms of electron transfer reactions, especially in metal complexes"
"Barbara McClintock ","Physiology or Medicine","1983","for her discovery of mobile genetic elements"
"William Golding ","Literature","1983","for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today"
"Lech Walesa ","Peace","1983","for non-violent struggle for free trade unions and human rights in Poland"
"Gerard Debreu ","Economic Sciences","1983","for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium"
"Kenneth G. Wilson ","Physics","1982","for his theory for critical phenomena in connection with phase transitions"
"Aaron Klug ","Chemistry","1982","for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes"
"Sune K. Bergström, Bengt I. Samuelsson and John R. Vane ","Physiology or Medicine","1982","for their discoveries concerning prostaglandins and related biologically active substances"
